time, action, visualization
0:00:00,brush,bar-5
0:00:00,range select,bar-5
0:00:32,pan,geo-0-1
0:00:53,brush,bar-5
0:00:54,range select,bar-5
0:00:57,pan,geo-0-1
0:01:29,range select,bar-5
0:01:52,pan,geo-0-1
0:02:20,range select,bar-5
0:02:55,pan,geo-0-1
0:03:01,range select,bar-5
0:03:29,brush,bar-5
0:03:30,range select,bar-5
0:03:42,brush,bar-5
0:03:56,range select,bar-5
0:04:43,pan,geo-0-1
0:05:14,zoom,geo-0-1
0:05:14,pan,geo-0-1
0:05:16,zoom,geo-0-1
0:05:16,pan,geo-0-1
0:05:35,zoom,geo-0-1
0:05:35,pan,geo-0-1
0:05:39,zoom,geo-0-1
0:05:39,pan,geo-0-1
0:05:41,zoom,geo-0-1
0:05:41,pan,geo-0-1
0:05:42,zoom,geo-0-1
0:05:42,pan,geo-0-1
0:05:46,zoom,geo-0-1
0:05:46,pan,geo-0-1
0:05:47,zoom,geo-0-1
0:05:47,pan,geo-0-1
0:05:49,zoom,geo-0-1
0:05:49,pan,geo-0-1
0:05:51,zoom,geo-0-1
0:05:51,pan,geo-0-1
0:05:51,zoom,geo-0-1
0:05:51,pan,geo-0-1
0:05:52,zoom,geo-0-1
0:05:52,pan,geo-0-1
0:05:57,zoom,geo-0-1
0:05:57,pan,geo-0-1
0:05:59,zoom,geo-0-1
0:05:59,pan,geo-0-1
0:06:01,zoom,geo-0-1
0:06:01,pan,geo-0-1
0:06:08,zoom,geo-0-1
0:06:08,pan,geo-0-1
0:06:25,zoom,geo-0-1
0:06:25,pan,geo-0-1
0:06:28,zoom,geo-0-1
0:06:28,pan,geo-0-1
0:06:29,zoom,geo-0-1
0:06:30,pan,geo-0-1
0:06:30,zoom,geo-0-1
0:06:30,pan,geo-0-1
0:06:35,brush,bar-5
0:06:35,range select,bar-5
0:06:40,pan,geo-0-1
0:06:42,zoom,geo-0-1
0:06:43,pan,geo-0-1
0:06:45,zoom,geo-0-1
0:06:45,pan,geo-0-1
0:06:47,zoom,geo-0-1
0:06:47,pan,geo-0-1
0:07:23,zoom,geo-0-1
0:07:23,pan,geo-0-1
0:07:35,zoom,geo-0-1
0:07:35,pan,geo-0-1
0:07:37,brush,bar-5
0:07:38,range select,bar-5
0:07:44,pan,geo-0-1
0:07:44,zoom,geo-0-1
0:07:44,pan,geo-0-1
0:08:09,range select,bar-5
0:08:16,pan,geo-0-1
0:08:31,range select,bar-5
0:08:33,brush,hist-2
0:08:33,range select,hist-2
0:08:36,brush,hist-2
0:08:36,range select,hist-2
0:08:38,pan,geo-0-1
0:08:43,range select,hist-2
0:08:53,brush,hist-2
0:08:54,range select,hist-2
0:10:01,brush,hist-2
0:10:01,range select,hist-2
0:10:58,range select,bar-5
0:10:59,brush,bar-5
0:11:00,range select,bar-5
0:11:06,range select,hist-2
0:11:08,range select,bar-5
0:11:11,range select,hist-2
0:13:03,pan,geo-0-1
0:13:09,range select,geo-0-1
0:13:19,brush,hist-4
0:13:25,pan,geo-0-1
0:13:28,zoom,geo-0-1
0:13:28,pan,geo-0-1
0:13:30,zoom,geo-0-1
0:13:30,pan,geo-0-1
0:13:38,zoom,geo-0-1
0:13:38,pan,geo-0-1
0:13:51,range select,geo-0-1
0:15:37,pan,geo-0-1
0:15:37,zoom,geo-0-1
0:15:38,pan,geo-0-1
0:15:38,zoom,geo-0-1
0:15:38,pan,geo-0-1
0:15:42,range select,geo-0-1
0:15:48,pan,geo-0-1
0:15:48,zoom,geo-0-1
0:15:48,pan,geo-0-1
0:15:48,zoom,geo-0-1
0:15:48,pan,geo-0-1
0:15:53,range select,geo-0-1
0:16:05,pan,geo-0-1
0:16:14,zoom,geo-0-1
0:16:14,pan,geo-0-1
0:16:14,zoom,geo-0-1
0:16:14,pan,geo-0-1
0:16:46,range select,geo-0-1
0:17:09,pan,geo-0-1
0:17:11,zoom,geo-0-1
0:17:11,pan,geo-0-1
0:17:13,zoom,geo-0-1
0:17:13,pan,geo-0-1
0:17:15,zoom,geo-0-1
0:17:15,pan,geo-0-1
0:17:18,range select,geo-0-1
0:17:32,pan,geo-0-1
0:17:32,zoom,geo-0-1
0:17:32,pan,geo-0-1
0:17:33,zoom,geo-0-1
0:17:33,pan,geo-0-1
0:17:33,zoom,geo-0-1
0:17:33,pan,geo-0-1
0:17:42,brush,bar-5
0:17:43,brush,hist-4
0:17:44,pan,geo-0-1
0:17:46,zoom,geo-0-1
0:17:46,pan,geo-0-1
